#1;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#2;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#3;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#4;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C)
 ;00:00:00;3.306;0.000;0.0;31.9;;;;;;;;;;;;;;;;;;
 ;00:00:01;3.289;0.000;0.0;31.9;;;;;;;;;;;;;;;;;;
 ;00:00:02;3.277;0.010;0.0;31.9;;;;;;;;;;;;;;;;;;
 ;00:00:03;3.309;0.070;0.0;31.9;;;;;;;;;;;;;;;;;;
 ;00:00:04;3.339;0.194;0.0;31.9;;;;;;;;;;;;;;;;;;
 ;00:00:05;3.384;0.378;0.1;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:06;3.447;0.618;0.3;31.9;;;;;;;;;;;;;;;;;;
 ;00:00:07;3.513;0.897;0.6;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:08;3.554;1.070;0.9;31.9;;;;;;;;;;;;;;;;;;
 ;00:00:09;3.579;1.148;1.2;31.9;;;;;;;;;;;;;;;;;;
 ;00:00:10;3.604;1.228;1.6;31.9;;;;;;;;;;;;;;;;;;
 ;00:00:11;3.628;1.311;1.9;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:12;3.650;1.395;2.3;31.9;;;;;;;;;;;;;;;;;;
 ;00:00:13;3.678;1.481;2.7;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:14;3.703;1.570;3.2;31.9;;;;;;;;;;;;;;;;;;
 ;00:00:15;3.730;1.658;3.6;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:16;3.756;1.752;4.1;31.9;;;;;;;;;;;;;;;;;;
 ;00:00:17;3.780;1.843;4.6;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:18;3.811;1.942;5.2;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:19;3.839;2.044;5.8;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:20;3.866;2.142;6.4;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:21;3.896;2.248;7.0;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:22;3.922;2.338;7.6;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:23;3.952;2.456;8.3;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:24;3.980;2.544;9.0;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:25;4.023;2.708;9.8;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:26;4.075;2.938;10.6;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:27;4.093;2.993;11.5;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:28;4.101;2.994;12.3;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:29;4.108;2.995;13.1;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:30;4.114;2.995;13.9;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:31;4.119;2.994;14.8;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:32;4.124;2.995;15.6;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:33;4.129;2.996;16.4;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:34;4.134;2.996;17.3;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:35;4.138;2.994;18.1;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:36;4.142;2.996;18.9;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:37;4.145;2.995;19.8;32.1;;;;;;;;;;;;;;;;;;
 ;00:00:38;4.149;2.994;20.6;32.1;;;;;;;;;;;;;;;;;;
 ;00:00:39;4.152;2.995;21.4;32.1;;;;;;;;;;;;;;;;;;
 ;00:00:40;4.156;2.996;22.3;32.1;;;;;;;;;;;;;;;;;;
 ;00:00:41;4.159;2.997;23.1;32.1;;;;;;;;;;;;;;;;;;
 ;00:00:42;4.162;2.997;23.9;32.1;;;;;;;;;;;;;;;;;;
 ;00:00:43;4.165;2.995;24.8;32.2;;;;;;;;;;;;;;;;;;
 ;00:00:44;4.168;2.996;25.6;32.2;;;;;;;;;;;;;;;;;;
 ;00:00:45;4.170;2.997;26.5;32.2;;;;;;;;;;;;;;;;;;
 ;00:00:46;4.173;2.995;27.3;32.2;;;;;;;;;;;;;;;;;;
 ;00:00:47;4.175;2.997;28.1;32.2;;;;;;;;;;;;;;;;;;
 ;00:00:48;4.177;2.995;28.9;32.2;;;;;;;;;;;;;;;;;;
 ;00:00:49;4.180;2.997;29.8;32.3;;;;;;;;;;;;;;;;;;
 ;00:00:50;4.182;2.996;30.6;32.3;;;;;;;;;;;;;;;;;;
 ;00:00:51;4.184;2.997;31.4;32.3;;;;;;;;;;;;;;;;;;
 ;00:00:52;4.186;2.996;32.3;32.3;;;;;;;;;;;;;;;;;;
 ;00:00:53;4.188;2.994;33.1;32.3;;;;;;;;;;;;;;;;;;
 ;00:00:54;4.190;2.999;33.9;32.4;;;;;;;;;;;;;;;;;;
 ;00:00:55;4.192;2.997;34.8;32.4;;;;;;;;;;;;;;;;;;
 ;00:00:56;4.194;2.999;35.6;32.4;;;;;;;;;;;;;;;;;;
 ;00:00:57;4.196;2.996;36.4;32.5;;;;;;;;;;;;;;;;;;
 ;00:00:58;4.197;2.994;37.2;32.5;;;;;;;;;;;;;;;;;;
 ;00:00:59;4.199;2.996;38.1;32.5;;;;;;;;;;;;;;;;;;
 ;00:01:00;4.200;2.991;38.9;32.5;;;;;;;;;;;;;;;;;;
 ;00:01:01;4.199;2.980;39.7;32.5;;;;;;;;;;;;;;;;;;
 ;00:01:02;4.199;2.975;40.6;32.6;;;;;;;;;;;;;;;;;;
 ;00:01:03;4.200;2.969;41.4;32.6;;;;;;;;;;;;;;;;;;
