#1;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#2;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#3;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#4;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C)
 ;00:00:00;3.308;0.000;0.0;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:01;3.293;0.000;0.0;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:02;3.269;0.010;0.0;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:03;3.320;0.078;0.0;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:04;3.387;0.190;0.0;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:05;3.478;0.383;0.2;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:06;3.596;0.584;0.3;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:07;3.756;0.858;0.6;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:08;3.915;1.023;0.9;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:09;3.990;1.099;1.2;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:10;4.038;1.157;1.5;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:11;4.077;1.233;1.8;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:12;4.109;1.300;2.2;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:13;4.144;1.378;2.6;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:14;4.174;1.433;3.0;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:15;4.185;1.464;3.4;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:16;4.195;1.479;3.8;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:17;4.199;1.482;4.2;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:18;4.200;1.477;4.6;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:19;4.200;1.469;5.0;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:20;4.199;1.461;5.5;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:21;4.199;1.453;5.9;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:22;4.199;1.446;6.3;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:23;4.199;1.438;6.7;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:24;4.199;1.431;7.1;28.4;;;;;;;;;;;;;;;;;;
