#1;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#2;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#3;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#4;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C)
 ;00:00:00;3.522;0.000;0.0;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:01;3.463;0.003;0.0;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:02;3.513;0.043;0.0;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:03;3.612;0.138;0.0;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:04;3.736;0.283;0.1;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:05;3.886;0.485;0.2;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:06;4.061;0.681;0.5;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:07;4.180;0.818;0.7;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:08;4.199;0.824;0.9;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:09;4.200;0.809;1.1;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:10;4.200;0.797;1.4;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:11;4.200;0.785;1.6;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:12;4.200;0.775;1.8;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:13;4.200;0.765;2.0;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:14;4.200;0.755;2.2;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:15;4.200;0.745;2.4;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:16;4.200;0.736;2.6;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:17;4.200;0.728;2.8;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:18;4.200;0.720;3.0;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:19;4.200;0.712;3.2;28.6;;;;;;;;;;;;;;;;;;
 ;00:00:20;4.200;0.705;3.4;28.6;;;;;;;;;;;;;;;;;;
 ;00:00:21;4.200;0.698;3.6;28.6;;;;;;;;;;;;;;;;;;
 ;00:00:22;4.200;0.691;3.8;28.6;;;;;;;;;;;;;;;;;;
 ;00:00:23;4.200;0.684;4.0;28.6;;;;;;;;;;;;;;;;;;
 ;00:00:24;4.200;0.678;4.2;28.6;;;;;;;;;;;;;;;;;;
 ;00:00:25;4.200;0.672;4.4;28.6;;;;;;;;;;;;;;;;;;
 ;00:00:26;4.200;0.666;4.5;28.6;;;;;;;;;;;;;;;;;;
 ;00:00:27;4.200;0.660;4.7;28.6;;;;;;;;;;;;;;;;;;
 ;00:00:28;4.200;0.655;4.9;28.6;;;;;;;;;;;;;;;;;;
 ;00:00:29;4.200;0.649;5.1;28.6;;;;;;;;;;;;;;;;;;
 ;00:00:30;4.200;0.644;5.3;28.6;;;;;;;;;;;;;;;;;;
 ;00:00:31;4.200;0.639;5.5;28.6;;;;;;;;;;;;;;;;;;
 ;00:00:32;4.200;0.633;5.6;28.6;;;;;;;;;;;;;;;;;;
 ;00:00:33;4.200;0.629;5.8;28.6;;;;;;;;;;;;;;;;;;
 ;00:00:34;4.200;0.624;6.0;28.7;;;;;;;;;;;;;;;;;;
 ;00:00:35;4.200;0.620;6.1;28.7;;;;;;;;;;;;;;;;;;
 ;00:00:36;4.200;0.615;6.3;28.7;;;;;;;;;;;;;;;;;;
 ;00:00:37;4.200;0.611;6.5;28.7;;;;;;;;;;;;;;;;;;
