#1;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#2;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#3;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#4;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C)
 ;00:00:00;3.346;0.000;0.0;28.3;;;;;;;;;;;;;;;;;;
 ;00:00:01;3.297;0.000;0.0;28.3;;;;;;;;;;;;;;;;;;
 ;00:00:02;3.229;0.010;0.0;28.3;;;;;;;;;;;;;;;;;;
 ;00:00:03;3.335;0.068;0.0;28.3;;;;;;;;;;;;;;;;;;
 ;00:00:04;3.458;0.184;0.0;28.3;;;;;;;;;;;;;;;;;;
 ;00:00:05;3.596;0.348;0.1;28.3;;;;;;;;;;;;;;;;;;
 ;00:00:06;3.756;0.550;0.3;28.3;;;;;;;;;;;;;;;;;;
 ;00:00:07;3.934;0.781;0.5;28.3;;;;;;;;;;;;;;;;;;
 ;00:00:08;4.099;0.997;0.8;28.3;;;;;;;;;;;;;;;;;;
 ;00:00:09;4.177;1.079;1.1;28.3;;;;;;;;;;;;;;;;;;
 ;00:00:10;4.200;1.076;1.4;28.3;;;;;;;;;;;;;;;;;;
 ;00:00:11;4.201;1.049;1.7;28.3;;;;;;;;;;;;;;;;;;
 ;00:00:12;4.201;1.022;2.0;28.3;;;;;;;;;;;;;;;;;;
 ;00:00:13;4.200;0.991;2.3;28.3;;;;;;;;;;;;;;;;;;
 ;00:00:14;4.200;0.968;2.5;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:15;4.200;0.950;2.8;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:16;4.200;0.933;3.1;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:17;4.200;0.917;3.3;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:18;4.200;0.902;3.6;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:19;4.200;0.888;3.8;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:20;4.200;0.875;4.1;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:21;4.200;0.862;4.3;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:22;4.200;0.851;4.5;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:23;4.200;0.840;4.8;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:24;4.200;0.829;5.0;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:25;4.200;0.819;5.2;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:26;4.200;0.810;5.4;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:27;4.200;0.801;5.7;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:28;4.200;0.792;5.9;28.4;;;;;;;;;;;;;;;;;;
 ;00:00:29;4.200;0.784;6.1;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:30;4.200;0.776;6.3;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:31;4.200;0.769;6.5;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:32;4.200;0.761;6.7;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:33;4.200;0.755;6.9;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:34;4.200;0.747;7.2;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:35;4.200;0.740;7.4;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:36;4.200;0.734;7.6;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:37;4.200;0.728;7.8;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:38;4.200;0.722;8.0;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:39;4.200;0.717;8.2;28.5;;;;;;;;;;;;;;;;;;
 ;00:00:40;4.200;0.712;8.4;28.6;;;;;;;;;;;;;;;;;;
 ;00:00:41;4.200;0.707;8.6;28.6;;;;;;;;;;;;;;;;;;
 ;00:00:42;4.200;0.702;8.8;28.6;;;;;;;;;;;;;;;;;;
 ;00:00:43;4.200;0.697;8.9;28.6;;;;;;;;;;;;;;;;;;
 ;00:00:44;4.200;0.693;9.1;28.6;;;;;;;;;;;;;;;;;;
 ;00:00:45;4.200;0.688;9.3;28.6;;;;;;;;;;;;;;;;;;
 ;00:00:46;4.200;0.684;9.5;28.6;;;;;;;;;;;;;;;;;;
 ;00:00:47;4.200;0.679;9.7;28.6;;;;;;;;;;;;;;;;;;
 ;00:00:48;4.200;0.675;9.9;28.6;;;;;;;;;;;;;;;;;;
 ;00:00:49;4.200;0.671;10.1;28.6;;;;;;;;;;;;;;;;;;
 ;00:00:50;4.200;0.668;10.3;28.6;;;;;;;;;;;;;;;;;;
 ;00:00:51;4.200;0.664;10.5;28.7;;;;;;;;;;;;;;;;;;
 ;00:00:52;4.200;0.660;10.6;28.7;;;;;;;;;;;;;;;;;;
 ;00:00:53;4.200;0.657;10.8;28.7;;;;;;;;;;;;;;;;;;
 ;00:00:54;4.200;0.653;11.0;28.7;;;;;;;;;;;;;;;;;;
 ;00:00:55;4.200;0.650;11.2;28.7;;;;;;;;;;;;;;;;;;
 ;00:00:56;4.200;0.646;11.4;28.7;;;;;;;;;;;;;;;;;;
 ;00:00:57;4.200;0.643;11.5;28.7;;;;;;;;;;;;;;;;;;
 ;00:00:58;4.200;0.640;11.7;28.7;;;;;;;;;;;;;;;;;;
 ;00:00:59;4.200;0.637;11.9;28.7;;;;;;;;;;;;;;;;;;
 ;00:01:00;4.200;0.634;12.1;28.7;;;;;;;;;;;;;;;;;;
 ;00:01:01;4.200;0.631;12.2;28.8;;;;;;;;;;;;;;;;;;
 ;00:01:02;4.200;0.628;12.4;28.8;;;;;;;;;;;;;;;;;;
 ;00:01:03;4.200;0.625;12.6;28.8;;;;;;;;;;;;;;;;;;
 ;00:01:04;4.200;0.622;12.8;28.8;;;;;;;;;;;;;;;;;;
 ;00:01:05;4.200;0.620;12.9;28.8;;;;;;;;;;;;;;;;;;
 ;00:01:06;4.200;0.617;13.1;28.8;;;;;;;;;;;;;;;;;;
 ;00:01:07;4.200;0.615;13.3;28.8;;;;;;;;;;;;;;;;;;
 ;00:01:08;4.200;0.612;13.5;28.8;;;;;;;;;;;;;;;;;;
 ;00:01:09;4.200;0.610;13.6;28.8;;;;;;;;;;;;;;;;;;
 ;00:01:10;4.200;0.607;13.8;28.8;;;;;;;;;;;;;;;;;;
 ;00:01:11;4.200;0.605;14.0;28.8;;;;;;;;;;;;;;;;;;
 ;00:01:12;4.200;0.603;14.1;28.9;;;;;;;;;;;;;;;;;;
 ;00:01:13;4.200;0.600;14.3;28.9;;;;;;;;;;;;;;;;;;
 ;00:01:14;4.200;0.598;14.5;28.9;;;;;;;;;;;;;;;;;;
 ;00:01:15;4.200;0.596;14.6;28.9;;;;;;;;;;;;;;;;;;
 ;00:01:16;4.200;0.593;14.8;28.9;;;;;;;;;;;;;;;;;;
 ;00:01:17;4.200;0.591;15.0;28.9;;;;;;;;;;;;;;;;;;
 ;00:01:18;4.200;0.589;15.1;28.9;;;;;;;;;;;;;;;;;;
 ;00:01:19;4.200;0.587;15.3;28.9;;;;;;;;;;;;;;;;;;
 ;00:01:20;4.200;0.585;15.4;28.9;;;;;;;;;;;;;;;;;;
 ;00:01:21;4.200;0.583;15.6;28.9;;;;;;;;;;;;;;;;;;
