#1;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#2;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#3;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#4;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C)
 ;00:00:00;3.357;0.000;0.0;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:01;3.323;0.005;0.0;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:02;3.353;0.046;0.0;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:03;3.412;0.161;0.0;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:04;3.490;0.308;0.1;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:05;3.590;0.536;0.3;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:06;3.726;0.759;0.5;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:07;3.870;1.004;0.8;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:08;3.901;1.102;1.1;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:09;3.909;1.189;1.4;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:10;3.937;1.258;1.8;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:11;3.967;1.341;2.2;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:12;4.000;1.412;2.6;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:13;4.040;1.491;3.0;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:14;4.078;1.565;3.4;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:15;4.110;1.650;3.9;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:16;4.137;1.739;4.4;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:17;4.161;1.824;4.9;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:18;4.182;1.887;5.4;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:19;4.196;1.889;6.0;27.7;;;;;;;;;;;;;;;;;;
 ;00:00:20;4.198;1.872;6.5;27.7;;;;;;;;;;;;;;;;;;
 ;00:00:21;4.198;1.870;7.0;27.7;;;;;;;;;;;;;;;;;;
 ;00:00:22;4.196;1.843;7.5;27.7;;;;;;;;;;;;;;;;;;
 ;00:00:23;4.192;1.796;8.0;27.7;;;;;;;;;;;;;;;;;;
 ;00:00:24;4.199;1.797;8.5;27.7;;;;;;;;;;;;;;;;;;
 ;00:00:25;4.200;1.788;9.0;27.7;;;;;;;;;;;;;;;;;;
 ;00:00:26;4.201;1.775;9.5;27.7;;;;;;;;;;;;;;;;;;
