#1;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#2;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#3;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#4;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C)
 ;00:00:00;3.273;0.001;0.0;27.5;;;;;;;;;;;;;;;;;;
 ;00:00:01;3.290;0.034;0.0;27.5;;;;;;;;;;;;;;;;;;
 ;00:00:02;3.347;0.128;0.0;27.5;;;;;;;;;;;;;;;;;;
 ;00:00:03;3.418;0.280;0.1;27.5;;;;;;;;;;;;;;;;;;
 ;00:00:04;3.507;0.484;0.2;27.5;;;;;;;;;;;;;;;;;;
 ;00:00:05;3.615;0.733;0.5;27.5;;;;;;;;;;;;;;;;;;
 ;00:00:06;3.718;0.974;0.7;27.5;;;;;;;;;;;;;;;;;;
 ;00:00:07;3.769;1.079;1.0;27.5;;;;;;;;;;;;;;;;;;
 ;00:00:08;3.808;1.151;1.4;27.5;;;;;;;;;;;;;;;;;;
 ;00:00:09;3.845;1.221;1.7;27.5;;;;;;;;;;;;;;;;;;
 ;00:00:10;3.883;1.295;2.1;27.5;;;;;;;;;;;;;;;;;;
 ;00:00:11;3.922;1.369;2.4;27.5;;;;;;;;;;;;;;;;;;
 ;00:00:12;3.962;1.443;2.9;27.5;;;;;;;;;;;;;;;;;;
 ;00:00:13;4.003;1.519;3.3;27.5;;;;;;;;;;;;;;;;;;
 ;00:00:14;4.043;1.597;3.7;27.5;;;;;;;;;;;;;;;;;;
 ;00:00:15;4.077;1.678;4.2;27.5;;;;;;;;;;;;;;;;;;
 ;00:00:16;4.107;1.761;4.7;27.5;;;;;;;;;;;;;;;;;;
 ;00:00:17;4.139;1.850;5.2;27.5;;;;;;;;;;;;;;;;;;
 ;00:00:18;4.166;1.929;5.7;27.5;;;;;;;;;;;;;;;;;;
 ;00:00:19;4.181;1.966;6.3;27.5;;;;;;;;;;;;;;;;;;
