#1;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#2;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#3;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#4;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C)
 ;00:00:00;3.297;0.000;0.0;29.6;;;;;;;;;;;;;;;;;;
 ;00:00:01;3.287;0.020;0.0;29.6;;;;;;;;;;;;;;;;;;
 ;00:00:02;3.327;0.097;0.0;29.6;;;;;;;;;;;;;;;;;;
 ;00:00:03;3.369;0.237;0.1;29.6;;;;;;;;;;;;;;;;;;
 ;00:00:04;3.424;0.434;0.2;29.6;;;;;;;;;;;;;;;;;;
 ;00:00:05;3.491;0.686;0.4;29.6;;;;;;;;;;;;;;;;;;
 ;00:00:06;3.560;0.958;0.7;29.6;;;;;;;;;;;;;;;;;;
 ;00:00:07;3.600;1.102;1.0;29.6;;;;;;;;;;;;;;;;;;
 ;00:00:08;3.627;1.179;1.3;29.6;;;;;;;;;;;;;;;;;;
 ;00:00:09;3.653;1.259;1.7;29.6;;;;;;;;;;;;;;;;;;
 ;00:00:10;3.680;1.341;2.1;29.6;;;;;;;;;;;;;;;;;;
 ;00:00:11;3.707;1.424;2.5;29.6;;;;;;;;;;;;;;;;;;
 ;00:00:12;3.734;1.510;2.9;29.6;;;;;;;;;;;;;;;;;;
 ;00:00:13;3.763;1.598;3.3;29.6;;;;;;;;;;;;;;;;;;
 ;00:00:14;3.790;1.683;3.8;29.6;;;;;;;;;;;;;;;;;;
 ;00:00:15;3.820;1.778;4.3;29.6;;;;;;;;;;;;;;;;;;
 ;00:00:16;3.849;1.866;4.8;29.6;;;;;;;;;;;;;;;;;;
 ;00:00:17;3.881;1.965;5.4;29.6;;;;;;;;;;;;;;;;;;
 ;00:00:18;3.911;2.064;6.0;29.6;;;;;;;;;;;;;;;;;;
 ;00:00:19;3.943;2.162;6.6;29.6;;;;;;;;;;;;;;;;;;
 ;00:00:20;3.974;2.257;7.2;29.6;;;;;;;;;;;;;;;;;;
 ;00:00:21;4.006;2.356;7.9;29.6;;;;;;;;;;;;;;;;;;
 ;00:00:22;4.039;2.455;8.6;29.6;;;;;;;;;;;;;;;;;;
 ;00:00:23;4.073;2.562;9.3;29.6;;;;;;;;;;;;;;;;;;
 ;00:00:24;4.105;2.649;10.0;29.6;;;;;;;;;;;;;;;;;;
 ;00:00:25;4.165;2.852;10.8;29.6;;;;;;;;;;;;;;;;;;
 ;00:00:26;4.196;2.949;11.6;29.6;;;;;;;;;;;;;;;;;;
 ;00:00:27;4.199;2.937;12.5;29.7;;;;;;;;;;;;;;;;;;
 ;00:00:28;4.199;2.915;13.3;29.7;;;;;;;;;;;;;;;;;;
 ;00:00:29;4.199;2.898;14.1;29.7;;;;;;;;;;;;;;;;;;
 ;00:00:30;4.199;2.877;14.9;29.7;;;;;;;;;;;;;;;;;;
 ;00:00:31;4.199;2.858;15.7;29.7;;;;;;;;;;;;;;;;;;
 ;00:00:32;4.199;2.840;16.5;29.7;;;;;;;;;;;;;;;;;;
 ;00:00:33;4.199;2.823;17.2;29.7;;;;;;;;;;;;;;;;;;
 ;00:00:34;4.199;2.808;18.0;29.7;;;;;;;;;;;;;;;;;;
 ;00:00:35;4.199;2.792;18.8;29.8;;;;;;;;;;;;;;;;;;
 ;00:00:36;4.199;2.778;19.6;29.8;;;;;;;;;;;;;;;;;;
 ;00:00:37;4.199;2.764;20.3;29.8;;;;;;;;;;;;;;;;;;
 ;00:00:38;4.200;2.752;21.1;29.8;;;;;;;;;;;;;;;;;;
 ;00:00:39;4.200;2.739;21.8;29.8;;;;;;;;;;;;;;;;;;
 ;00:00:40;4.199;2.725;22.6;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:41;4.199;2.714;23.4;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:42;4.199;2.704;24.1;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:43;4.199;2.692;24.9;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:44;4.200;2.686;25.6;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:45;4.199;2.675;26.3;30.0;;;;;;;;;;;;;;;;;;
 ;00:00:46;4.199;2.667;27.1;30.0;;;;;;;;;;;;;;;;;;
 ;00:00:47;4.199;2.660;27.8;30.0;;;;;;;;;;;;;;;;;;
 ;00:00:48;4.200;2.651;28.6;30.0;;;;;;;;;;;;;;;;;;
 ;00:00:49;4.200;2.644;29.3;30.0;;;;;;;;;;;;;;;;;;
 ;00:00:50;4.200;2.637;30.0;30.1;;;;;;;;;;;;;;;;;;
 ;00:00:51;4.200;2.630;30.8;30.1;;;;;;;;;;;;;;;;;;
 ;00:00:52;4.200;2.624;31.5;30.1;;;;;;;;;;;;;;;;;;
 ;00:00:53;4.200;2.618;32.2;30.1;;;;;;;;;;;;;;;;;;
 ;00:00:54;4.200;2.611;32.9;30.2;;;;;;;;;;;;;;;;;;
 ;00:00:55;4.200;2.605;33.7;30.2;;;;;;;;;;;;;;;;;;
 ;00:00:56;4.200;2.599;34.4;30.2;;;;;;;;;;;;;;;;;;
 ;00:00:57;4.200;2.593;35.1;30.2;;;;;;;;;;;;;;;;;;
 ;00:00:58;4.199;2.588;35.8;30.2;;;;;;;;;;;;;;;;;;
 ;00:00:59;4.199;2.583;36.5;30.3;;;;;;;;;;;;;;;;;;
 ;00:01:00;4.199;2.578;37.3;30.3;;;;;;;;;;;;;;;;;;
 ;00:01:01;4.199;2.574;38.0;30.3;;;;;;;;;;;;;;;;;;
 ;00:01:02;4.199;2.568;38.7;30.3;;;;;;;;;;;;;;;;;;
 ;00:01:03;4.199;2.563;39.4;30.4;;;;;;;;;;;;;;;;;;
 ;00:01:04;4.199;2.562;40.1;30.4;;;;;;;;;;;;;;;;;;
 ;00:01:05;4.200;2.557;40.8;30.4;;;;;;;;;;;;;;;;;;
 ;00:01:06;4.199;2.550;41.5;30.5;;;;;;;;;;;;;;;;;;
 ;00:01:07;4.199;2.546;42.2;30.5;;;;;;;;;;;;;;;;;;
 ;00:01:08;4.199;2.545;42.9;30.5;;;;;;;;;;;;;;;;;;
 ;00:01:09;4.200;2.544;43.6;30.5;;;;;;;;;;;;;;;;;;
 ;00:01:10;4.200;2.540;44.4;30.6;;;;;;;;;;;;;;;;;;
 ;00:01:11;4.199;2.535;45.1;30.6;;;;;;;;;;;;;;;;;;
 ;00:01:12;4.199;2.528;45.8;30.6;;;;;;;;;;;;;;;;;;
 ;00:01:13;4.199;2.526;46.5;30.7;;;;;;;;;;;;;;;;;;
 ;00:01:14;4.199;2.525;47.2;30.7;;;;;;;;;;;;;;;;;;
 ;00:01:15;4.199;2.523;47.9;30.7;;;;;;;;;;;;;;;;;;
 ;00:01:16;4.200;2.521;48.6;30.7;;;;;;;;;;;;;;;;;;
 ;00:01:17;4.200;2.518;49.3;30.7;;;;;;;;;;;;;;;;;;
 ;00:01:18;4.199;2.512;50.0;30.8;;;;;;;;;;;;;;;;;;
 ;00:01:19;4.199;2.508;50.7;30.8;;;;;;;;;;;;;;;;;;
 ;00:01:20;4.199;2.508;51.4;30.8;;;;;;;;;;;;;;;;;;
 ;00:01:21;4.199;2.506;52.0;30.9;;;;;;;;;;;;;;;;;;
 ;00:01:22;4.199;2.505;52.7;30.9;;;;;;;;;;;;;;;;;;
 ;00:01:23;4.200;2.502;53.4;30.9;;;;;;;;;;;;;;;;;;
 ;00:01:24;4.199;2.497;54.1;31.0;;;;;;;;;;;;;;;;;;
 ;00:01:25;4.199;2.491;54.8;31.0;;;;;;;;;;;;;;;;;;
 ;00:01:26;4.200;2.490;55.5;31.0;;;;;;;;;;;;;;;;;;
 ;00:01:27;4.200;2.490;56.2;31.1;;;;;;;;;;;;;;;;;;
 ;00:01:28;4.199;2.486;56.9;31.1;;;;;;;;;;;;;;;;;;
 ;00:01:29;4.199;2.483;57.6;31.1;;;;;;;;;;;;;;;;;;
 ;00:01:30;4.200;2.482;58.3;31.2;;;;;;;;;;;;;;;;;;
 ;00:01:31;4.200;2.481;59.0;31.2;;;;;;;;;;;;;;;;;;
 ;00:01:32;4.200;2.477;59.7;31.2;;;;;;;;;;;;;;;;;;
 ;00:01:33;4.200;2.475;60.3;31.3;;;;;;;;;;;;;;;;;;
 ;00:01:34;4.200;2.475;61.0;31.3;;;;;;;;;;;;;;;;;;
 ;00:01:35;4.200;2.471;61.7;31.3;;;;;;;;;;;;;;;;;;
 ;00:01:36;4.200;2.469;62.4;31.3;;;;;;;;;;;;;;;;;;
 ;00:01:37;4.200;2.467;63.1;31.4;;;;;;;;;;;;;;;;;;
 ;00:01:38;4.200;2.465;63.8;31.4;;;;;;;;;;;;;;;;;;
 ;00:01:39;4.200;2.464;64.5;31.4;;;;;;;;;;;;;;;;;;
 ;00:01:40;4.200;2.462;65.1;31.5;;;;;;;;;;;;;;;;;;
 ;00:01:41;4.200;2.460;65.8;31.5;;;;;;;;;;;;;;;;;;
 ;00:01:42;4.200;2.458;66.5;31.5;;;;;;;;;;;;;;;;;;
 ;00:01:43;4.200;2.457;67.2;31.6;;;;;;;;;;;;;;;;;;
 ;00:01:44;4.200;2.455;67.9;31.6;;;;;;;;;;;;;;;;;;
 ;00:01:45;4.200;2.454;68.6;31.6;;;;;;;;;;;;;;;;;;
 ;00:01:46;4.200;2.451;69.2;31.7;;;;;;;;;;;;;;;;;;
 ;00:01:47;4.200;2.449;69.9;31.7;;;;;;;;;;;;;;;;;;
 ;00:01:48;4.200;2.447;70.6;31.7;;;;;;;;;;;;;;;;;;
 ;00:01:49;4.200;2.446;71.3;31.8;;;;;;;;;;;;;;;;;;
 ;00:01:50;4.200;2.445;72.0;31.8;;;;;;;;;;;;;;;;;;
 ;00:01:51;4.200;2.443;72.6;31.8;;;;;;;;;;;;;;;;;;
 ;00:01:52;4.200;2.442;73.3;31.9;;;;;;;;;;;;;;;;;;
 ;00:01:53;4.200;2.440;74.0;31.9;;;;;;;;;;;;;;;;;;
 ;00:01:54;4.200;2.438;74.7;31.9;;;;;;;;;;;;;;;;;;
 ;00:01:55;4.200;2.436;75.3;32.0;;;;;;;;;;;;;;;;;;
 ;00:01:56;4.200;2.435;76.0;32.0;;;;;;;;;;;;;;;;;;
 ;00:01:57;4.200;2.434;76.7;32.0;;;;;;;;;;;;;;;;;;
