#1;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#2;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#3;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#4;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C)
 ;00:00:00;3.306;0.001;0.0;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:01;3.322;0.034;0.0;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:02;3.375;0.127;0.0;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:03;3.445;0.278;0.1;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:04;3.539;0.480;0.2;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:05;3.664;0.723;0.5;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:06;3.802;0.963;0.7;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:07;3.873;1.075;1.0;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:08;3.931;1.135;1.4;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:09;3.972;1.205;1.7;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:10;4.007;1.278;2.1;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:11;4.042;1.351;2.4;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:12;4.094;1.420;2.8;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:13;4.152;1.486;3.3;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:14;4.187;1.526;3.7;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:15;4.199;1.532;4.1;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:16;4.200;1.522;4.5;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:17;4.200;1.505;4.9;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:18;4.200;1.494;5.4;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:19;4.200;1.484;5.8;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:20;4.199;1.476;6.2;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:21;4.199;1.470;6.6;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:22;4.199;1.463;7.0;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:23;4.200;1.455;7.4;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:24;4.199;1.447;7.8;29.9;;;;;;;;;;;;;;;;;;
 ;00:00:25;4.199;1.440;8.2;29.9;;;;;;;;;;;;;;;;;;
