#1;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#2;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#3;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#4;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C)
 ;00:00:00;3.309;0.000;0.0;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:01;3.300;0.020;0.0;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:02;3.341;0.097;0.0;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:03;3.382;0.235;0.1;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:04;3.437;0.432;0.2;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:05;3.504;0.681;0.4;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:06;3.572;0.950;0.7;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:07;3.611;1.090;1.0;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:08;3.637;1.167;1.3;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:09;3.662;1.247;1.7;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:10;3.689;1.328;2.1;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:11;3.716;1.411;2.5;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:12;3.743;1.497;2.9;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:13;3.771;1.582;3.3;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:14;3.800;1.668;3.8;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:15;3.831;1.760;4.3;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:16;3.862;1.844;4.8;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:17;3.897;1.942;5.3;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:18;3.929;2.030;5.9;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:19;3.971;2.135;6.5;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:20;4.006;2.211;7.1;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:21;4.052;2.315;7.8;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:22;4.087;2.396;8.5;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:23;4.128;2.494;9.2;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:24;4.162;2.598;9.9;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:25;4.172;2.626;10.6;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:26;4.180;2.640;11.3;27.6;;;;;;;;;;;;;;;;;;
 ;00:00:27;4.191;2.662;12.1;27.7;;;;;;;;;;;;;;;;;;
 ;00:00:28;4.199;2.677;12.8;27.7;;;;;;;;;;;;;;;;;;
 ;00:00:29;4.199;2.672;13.6;27.7;;;;;;;;;;;;;;;;;;
 ;00:00:30;4.199;2.667;14.3;27.7;;;;;;;;;;;;;;;;;;
 ;00:00:31;4.199;2.661;15.1;27.7;;;;;;;;;;;;;;;;;;
 ;00:00:32;4.200;2.655;15.8;27.7;;;;;;;;;;;;;;;;;;
 ;00:00:33;4.199;2.647;16.5;27.7;;;;;;;;;;;;;;;;;;
 ;00:00:34;4.200;2.643;17.3;27.7;;;;;;;;;;;;;;;;;;
 ;00:00:35;4.200;2.637;18.0;27.7;;;;;;;;;;;;;;;;;;
 ;00:00:36;4.200;2.632;18.7;27.7;;;;;;;;;;;;;;;;;;
 ;00:00:37;4.200;2.626;19.5;27.7;;;;;;;;;;;;;;;;;;
 ;00:00:38;4.200;2.621;20.2;27.7;;;;;;;;;;;;;;;;;;
 ;00:00:39;4.200;2.616;20.9;27.8;;;;;;;;;;;;;;;;;;
 ;00:00:40;4.200;2.611;21.6;27.8;;;;;;;;;;;;;;;;;;
 ;00:00:41;4.200;2.605;22.4;27.8;;;;;;;;;;;;;;;;;;
 ;00:00:42;4.200;2.602;23.1;27.8;;;;;;;;;;;;;;;;;;
 ;00:00:43;4.199;2.596;23.8;27.8;;;;;;;;;;;;;;;;;;
 ;00:00:44;4.200;2.593;24.5;27.8;;;;;;;;;;;;;;;;;;
 ;00:00:45;4.199;2.589;25.2;27.8;;;;;;;;;;;;;;;;;;
 ;00:00:46;4.199;2.585;26.0;27.9;;;;;;;;;;;;;;;;;;
 ;00:00:47;4.199;2.581;26.7;27.9;;;;;;;;;;;;;;;;;;
 ;00:00:48;4.199;2.578;27.4;27.9;;;;;;;;;;;;;;;;;;
 ;00:00:49;4.199;2.573;28.1;27.9;;;;;;;;;;;;;;;;;;
 ;00:00:50;4.199;2.570;28.8;27.9;;;;;;;;;;;;;;;;;;
 ;00:00:51;4.200;2.568;29.5;28.0;;;;;;;;;;;;;;;;;;
 ;00:00:52;4.199;2.564;30.2;28.0;;;;;;;;;;;;;;;;;;
 ;00:00:53;4.198;2.560;31.0;28.0;;;;;;;;;;;;;;;;;;
 ;00:00:54;4.199;2.558;31.7;28.0;;;;;;;;;;;;;;;;;;
 ;00:00:55;4.200;2.557;32.4;28.0;;;;;;;;;;;;;;;;;;
 ;00:00:56;4.199;2.556;33.1;28.1;;;;;;;;;;;;;;;;;;
 ;00:00:57;4.199;2.553;33.8;28.1;;;;;;;;;;;;;;;;;;
 ;00:00:58;4.199;2.548;34.5;28.1;;;;;;;;;;;;;;;;;;
 ;00:00:59;4.198;2.544;35.2;28.1;;;;;;;;;;;;;;;;;;
 ;00:01:00;4.199;2.543;35.9;28.1;;;;;;;;;;;;;;;;;;
 ;00:01:01;4.199;2.541;36.6;28.2;;;;;;;;;;;;;;;;;;
