#1;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#2;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#3;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#4;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C)
 ;00:00:00;3.307;0.000;0.0;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:01;3.299;0.000;0.0;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:02;3.284;0.010;0.0;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:03;3.311;0.070;0.0;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:04;3.347;0.194;0.0;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:05;3.396;0.377;0.2;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:06;3.458;0.615;0.3;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:07;3.526;0.891;0.6;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:08;3.568;1.060;0.9;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:09;3.593;1.137;1.2;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:10;3.618;1.217;1.6;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:11;3.642;1.299;1.9;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:12;3.668;1.381;2.3;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:13;3.694;1.468;2.7;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:14;3.719;1.554;3.2;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:15;3.747;1.642;3.6;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:16;3.774;1.735;4.1;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:17;3.801;1.824;4.6;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:18;3.831;1.922;5.2;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:19;3.859;2.018;5.7;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:20;3.890;2.127;6.3;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:21;3.918;2.216;6.9;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:22;3.950;2.324;7.6;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:23;3.980;2.414;8.3;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:24;4.014;2.530;9.0;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:25;4.043;2.613;9.7;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:26;4.104;2.824;10.5;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:27;4.148;2.973;11.3;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:28;4.161;2.993;12.2;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:29;4.168;2.996;13.0;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:30;4.173;2.995;13.8;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:31;4.179;2.995;14.7;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:32;4.184;2.996;15.5;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:33;4.189;2.996;16.3;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:34;4.193;2.997;17.2;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:35;4.197;2.996;18.0;30.3;;;;;;;;;;;;;;;;;;
 ;00:00:36;4.199;2.987;18.8;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:37;4.199;2.974;19.7;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:38;4.199;2.961;20.5;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:39;4.199;2.951;21.3;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:40;4.199;2.940;22.1;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:41;4.199;2.929;22.9;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:42;4.200;2.922;23.7;30.5;;;;;;;;;;;;;;;;;;
