#1;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#2;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#3;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#4;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C)
 ;00:00:00;3.290;0.000;0.0;29.7;;;;;;;;;;;;;;;;;;
 ;00:00:01;3.284;0.020;0.0;29.7;;;;;;;;;;;;;;;;;;
 ;00:00:02;3.320;0.098;0.0;29.7;;;;;;;;;;;;;;;;;;
 ;00:00:03;3.359;0.238;0.1;29.7;;;;;;;;;;;;;;;;;;
 ;00:00:04;3.412;0.436;0.2;29.7;;;;;;;;;;;;;;;;;;
 ;00:00:05;3.478;0.688;0.4;29.7;;;;;;;;;;;;;;;;;;
 ;00:00:06;3.544;0.952;0.7;29.7;;;;;;;;;;;;;;;;;;
 ;00:00:07;3.580;1.082;1.0;29.7;;;;;;;;;;;;;;;;;;
 ;00:00:08;3.606;1.160;1.3;29.7;;;;;;;;;;;;;;;;;;
 ;00:00:09;3.631;1.239;1.7;29.7;;;;;;;;;;;;;;;;;;
 ;00:00:10;3.655;1.322;2.0;29.7;;;;;;;;;;;;;;;;;;
 ;00:00:11;3.681;1.405;2.4;29.7;;;;;;;;;;;;;;;;;;
 ;00:00:12;3.706;1.491;2.8;29.7;;;;;;;;;;;;;;;;;;
 ;00:00:13;3.732;1.580;3.3;29.7;;;;;;;;;;;;;;;;;;
 ;00:00:14;3.758;1.668;3.8;29.7;;;;;;;;;;;;;;;;;;
 ;00:00:15;3.785;1.762;4.3;29.7;;;;;;;;;;;;;;;;;;
 ;00:00:16;3.811;1.853;4.8;29.7;;;;;;;;;;;;;;;;;;
 ;00:00:17;3.838;1.952;5.3;29.7;;;;;;;;;;;;;;;;;;
 ;00:00:18;3.865;2.055;5.9;29.7;;;;;;;;;;;;;;;;;;
