#1;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#2;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#3;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#4;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C)
 ;00:00:00;3.306;0.000;0.0;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:01;3.280;0.004;0.0;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:02;3.299;0.047;0.0;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:03;3.337;0.154;0.0;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:04;3.388;0.320;0.1;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:05;3.452;0.542;0.3;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:06;3.529;0.815;0.5;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:07;3.590;1.036;0.8;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:08;3.622;1.126;1.2;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:09;3.651;1.205;1.5;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:10;3.679;1.282;1.9;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:11;3.709;1.364;2.2;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:12;3.738;1.447;2.6;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:13;3.767;1.529;3.1;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:14;3.798;1.618;3.5;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:15;3.828;1.702;4.0;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:16;3.860;1.794;4.5;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:17;3.891;1.880;5.0;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:18;3.924;1.980;5.6;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:19;3.955;2.075;6.2;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:20;3.988;2.173;6.8;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:21;4.020;2.264;7.4;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:22;4.053;2.367;8.1;30.4;;;;;;;;;;;;;;;;;;
 ;00:00:23;4.084;2.456;8.8;30.4;;;;;;;;;;;;;;;;;;
