#1;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#2;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#3;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C);#4;Time;Voltage(V);Curent(A);Capacity(mAh);Batt.Temp(C)
 ;00:00:00;3.289;0.000;0.0;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:01;3.281;0.020;0.0;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:02;3.317;0.098;0.0;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:03;3.356;0.239;0.1;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:04;3.407;0.459;0.2;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:05;3.471;0.692;0.4;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:06;3.535;0.973;0.7;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:07;3.569;1.084;1.0;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:08;3.594;1.162;1.3;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:09;3.618;1.249;1.7;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:10;3.643;1.333;2.1;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:11;3.668;1.418;2.5;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:12;3.694;1.503;2.9;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:13;3.720;1.593;3.3;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:14;3.747;1.680;3.8;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:15;3.777;1.774;4.3;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:16;3.805;1.866;4.8;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:17;3.833;1.962;5.4;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:18;3.863;2.067;6.0;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:19;3.891;2.160;6.6;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:20;3.923;2.269;7.2;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:21;3.950;2.354;7.9;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:22;3.985;2.473;8.6;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:23;4.012;2.558;9.3;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:24;4.057;2.708;10.0;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:25;4.114;2.925;10.9;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:26;4.136;2.990;11.7;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:27;4.144;2.995;12.5;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:28;4.150;2.997;13.3;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:29;4.155;2.997;14.2;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:30;4.160;2.995;15.0;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:31;4.164;2.995;15.8;31.6;;;;;;;;;;;;;;;;;;
 ;00:00:32;4.168;2.996;16.7;31.7;;;;;;;;;;;;;;;;;;
 ;00:00:33;4.172;2.996;17.5;31.7;;;;;;;;;;;;;;;;;;
 ;00:00:34;4.176;2.998;18.3;31.7;;;;;;;;;;;;;;;;;;
 ;00:00:35;4.179;2.997;19.2;31.7;;;;;;;;;;;;;;;;;;
 ;00:00:36;4.182;2.997;20.0;31.7;;;;;;;;;;;;;;;;;;
 ;00:00:37;4.185;2.997;20.8;31.7;;;;;;;;;;;;;;;;;;
 ;00:00:38;4.188;2.997;21.7;31.7;;;;;;;;;;;;;;;;;;
 ;00:00:39;4.191;2.997;22.5;31.8;;;;;;;;;;;;;;;;;;
 ;00:00:40;4.193;2.996;23.3;31.8;;;;;;;;;;;;;;;;;;
 ;00:00:41;4.196;2.998;24.2;31.8;;;;;;;;;;;;;;;;;;
 ;00:00:42;4.198;2.995;25.0;31.8;;;;;;;;;;;;;;;;;;
 ;00:00:43;4.199;2.989;25.8;31.8;;;;;;;;;;;;;;;;;;
 ;00:00:44;4.199;2.981;26.7;31.9;;;;;;;;;;;;;;;;;;
 ;00:00:45;4.200;2.974;27.5;31.9;;;;;;;;;;;;;;;;;;
 ;00:00:46;4.199;2.965;28.3;31.9;;;;;;;;;;;;;;;;;;
 ;00:00:47;4.199;2.956;29.1;31.9;;;;;;;;;;;;;;;;;;
 ;00:00:48;4.199;2.951;30.0;31.9;;;;;;;;;;;;;;;;;;
 ;00:00:49;4.200;2.945;30.8;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:50;4.199;2.940;31.6;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:51;4.199;2.931;32.4;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:52;4.199;2.926;33.2;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:53;4.199;2.921;34.0;32.0;;;;;;;;;;;;;;;;;;
 ;00:00:54;4.199;2.916;34.8;32.1;;;;;;;;;;;;;;;;;;
 ;00:00:55;4.200;2.912;35.6;32.1;;;;;;;;;;;;;;;;;;
 ;00:00:56;4.199;2.906;36.4;32.1;;;;;;;;;;;;;;;;;;
 ;00:00:57;4.198;2.899;37.3;32.1;;;;;;;;;;;;;;;;;;
 ;00:00:58;4.199;2.896;38.1;32.2;;;;;;;;;;;;;;;;;;
 ;00:00:59;4.199;2.893;38.9;32.2;;;;;;;;;;;;;;;;;;
 ;00:01:00;4.199;2.887;39.7;32.2;;;;;;;;;;;;;;;;;;
 ;00:01:01;4.200;2.884;40.5;32.2;;;;;;;;;;;;;;;;;;
 ;00:01:02;4.200;2.881;41.3;32.2;;;;;;;;;;;;;;;;;;
 ;00:01:03;4.199;2.874;42.1;32.3;;;;;;;;;;;;;;;;;;
 ;00:01:04;4.198;2.869;42.9;32.3;;;;;;;;;;;;;;;;;;
 ;00:01:05;4.199;2.866;43.7;32.3;;;;;;;;;;;;;;;;;;
 ;00:01:06;4.199;2.865;44.5;32.4;;;;;;;;;;;;;;;;;;
 ;00:01:07;4.200;2.861;45.2;32.4;;;;;;;;;;;;;;;;;;
 ;00:01:08;4.200;2.856;46.0;32.4;;;;;;;;;;;;;;;;;;
 ;00:01:09;4.200;2.854;46.8;32.4;;;;;;;;;;;;;;;;;;
 ;00:01:10;4.200;2.852;47.6;32.5;;;;;;;;;;;;;;;;;;
 ;00:01:11;4.199;2.846;48.4;32.5;;;;;;;;;;;;;;;;;;
 ;00:01:12;4.198;2.841;49.2;32.5;;;;;;;;;;;;;;;;;;
